CPU %, %MEM, TIME+, COMMAND
0.0, 0.2, 0:00.78, xdg-des+
0.0, 0.1, 0:00.12, gnome-s+
0.0, 0.2, 0:00.19, evoluti+
0.0, 0.1, 0:01.17, upowerd
0.0, 0.1, 0:00.09, goa-dae+
0.0, 0.1, 0:00.14, evoluti+
0.0, 0.1, 0:00.07, goa-ide+
0.0, 0.1, 0:00.02, dconf-s+
0.0, 0.1, 0:00.59, gvfs-ud+
0.0, 0.1, 0:00.03, gvfs-mt+
0.0, 0.1, 0:00.09, evoluti+
0.0, 0.1, 0:00.03, gvfs-gp+
0.0, 0.1, 0:00.02, gvfs-go+
0.0, 0.1, 0:00.29, gvfs-af+
0.0, 0.1, 0:00.10, gjs
0.0, 0.1, 0:00.06, cups-br+
0.0, 0.4, 0:04.33, dockerd
0.0, 0.2, 0:14.06, java
0.0, 0.0, 0:00.00, kernelo+
0.0, 0.0, 0:00.00, kernelo+
0.0, 0.1, 0:00.11, gvfsd-t+
0.0, 0.0, 0:00.00, iprt-VB+
0.0, 0.0, 0:00.00, iprt-VB+
0.0, 0.1, 0:00.03, at-spi2+
0.0, 0.1, 0:00.20, colord
0.0, 0.0, 0:00.00, sh
0.0, 0.1, 0:00.01, gsd-a11+
0.0, 0.2, 0:00.18, gsd-col+
0.0, 0.1, 0:00.02, gsd-dat+
0.0, 0.1, 0:00.22, gsd-hou+
0.0, 0.2, 0:00.15, gsd-key+
0.0, 0.2, 0:00.35, gsd-med+
0.0, 0.3, 0:00.36, gsd-pow+
0.0, 0.1, 0:00.02, gsd-pri+
0.0, 0.1, 0:00.02, gsd-rfk+
0.0, 0.1, 0:00.01, gsd-scr+
0.0, 0.1, 0:00.37, gsd-sha+
0.0, 0.1, 0:00.01, gsd-sma+
0.0, 0.1, 0:00.01, gsd-sou+
0.0, 0.2, 0:00.18, gsd-wac+
0.0, 0.1, 0:19.38, ibus-da+
0.0, 0.1, 0:00.02, gsd-dis+
0.0, 0.2, 0:00.47, xpad
0.0, 0.3, 0:00.34, evoluti+
0.0, 0.1, 0:00.03, gsd-pri+
0.0, 0.1, 0:00.00, ibus-me+
0.0, 0.2, 0:11.26, ibus-ex+
0.0, 0.1, 0:00.13, ibus-po+
0.0, 0.1, 0:04.75, ibus-en+
0.0, 0.2, 0:00.39, xdg-des+
0.0, 0.0, 0:00.23, master
0.0, 0.1, 0:00.26, qmgr
0.0, 0.1, 0:00.37, tlsmgr
0.0, 0.3, 0:01.94, tracker+
0.0, 0.2, 0:00.13, gjs
0.0, 0.0, 0:00.01, docker-+
0.0, 0.0, 0:00.00, docker-+
0.0, 0.0, 0:00.00, docker-+
0.0, 0.0, 0:00.00, docker-+
